
[2025-04-23 11:01:37] | Operación: Main | Descripcion: Banco iniciado
[2025-04-23 11:01:37] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-04-23 11:01:39] | Operación: Main | Descripcion: Abriendo terminal
[2025-04-23 11:01:43] Cuenta: 1000 | Operación: buscar_cuenta_log | Descripcion: Cuenta encontrada
[2025-04-23 11:01:43] Cuenta: 1000 | Operación: Login | Descripcion: Login exitoso
[2025-04-23 11:01:43] Cuenta: 1000 | Operación: buscar_cuenta | Descripcion: Cuenta encontrada
[2025-04-23 11:01:46] | Operación: Main | Descripcion: Abriendo terminal
[2025-04-23 11:02:07] Cuenta: 1 | Operación: Login | Descripcion: Cuenta no encontrada
[2025-04-23 11:02:17] Cuenta: 1001 | Operación: buscar_cuenta_log | Descripcion: Cuenta encontrada
[2025-04-23 11:02:17] Cuenta: 1001 | Operación: Login | Descripcion: Login exitoso
[2025-04-23 11:02:17] Cuenta: 1001 | Operación: buscar_cuenta | Descripcion: Cuenta encontrada
[2025-04-23 11:03:54] Cuenta: 1000 | Operación: buscar_cuenta | Descripcion: Cuenta encontrada
[2025-04-23 11:03:57] Cuenta: 1001 | Operación: buscar_cuenta | Descripcion: Cuenta encontrada
[2025-04-26 18:03:17] | Operación: Main | Descripcion: Banco iniciado
[2025-04-26 18:03:17] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-04-26 18:03:21] | Operación: Main | Descripcion: Abriendo terminal
[2025-04-26 18:03:27] | Operación: Main | Descripcion: Abriendo terminal
[2025-04-26 18:04:01] | Operación: Main | Descripcion: Banco iniciado
[2025-04-26 18:04:01] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-04-26 18:04:06] | Operación: Main | Descripcion: Abriendo terminal
[2025-04-26 18:04:58] | Operación: Main | Descripcion: Error de usuario opcion del menu
[2025-04-26 18:20:03] | Operación: Main | Descripcion: Banco iniciado
[2025-04-26 18:20:03] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-04-26 18:20:07] | Operación: Main | Descripcion: Abriendo terminal
[2025-04-26 18:20:13] Cuenta: 1000 | Operación: buscar_cuenta_log | Descripcion: Cuenta encontrada
