[2025-04-27 17:00:27] Cuenta: 1000 | Operación: Depósito | Monto: 1000.00 | Saldo final: 6000.00
[2025-05-15 18:09:31] Cuenta: 1001 | Operación: Depósito | Monto: 1000.00 | Saldo final: 6000.00
[2025-05-16 14:18:18] Cuenta: 1000 | Operación: Transferencia enviada | Monto: 1000.00 | Saldo final: 4000.00
[2025-05-16 14:18:18] Cuenta: 1001 | Operación: Transferencia recibida | Monto: 1000.00 | Saldo final: 6000.00
[2025-05-16 14:31:03] Cuenta: 1001 | Operación: Transferencia realizada | Monto: 1000.00 | Saldo final: 4000.00
[2025-05-16 14:31:03] Cuenta: 1000 | Operación: Transferencia recibida | Monto: 1000.00 | Saldo final: 6000.00
[2025-05-16 14:52:57] Cuenta: 1000 | Operación: Transferencia realizada | Monto: 1000.00 | Saldo final: 4000.00
[2025-05-16 14:52:57] Cuenta: 1001 | Operación: Transferencia recibida | Monto: 1000.00 | Saldo final: 6000.00
[2025-05-17 09:09:14] Cuenta: 1000 | Operación: Depósito | Monto: 100.00 | Saldo final: 5100.00
[2025-05-17 09:09:41] Cuenta: 1000 | Operación: Transferencia realizada | Monto: 14.00 | Saldo final: 5085.00
[2025-05-17 09:09:41] Cuenta: 1001 | Operación: Transferencia recibida | Monto: 14.00 | Saldo final: 5014.00
[2025-05-17 09:10:26] Cuenta: 1001 | Operación: Depósito | Monto: 0.00 | Saldo final: 5000.00
[2025-05-17 09:10:31] Cuenta: 1001 | Operación: Depósito | Monto: 0.00 | Saldo final: 5000.00
[2025-05-17 09:10:36] Cuenta: 1001 | Operación: Depósito | Monto: 0.00 | Saldo final: 5000.00
[2025-05-17 09:10:57] Cuenta: 1000 | Operación: Depósito | Monto: 1.00 | Saldo final: 5001.00
[2025-05-17 09:31:45] Cuenta: 1000 | Operación: Depósito | Monto: 1.00 | Saldo final: 5001.00
[2025-05-17 09:31:50] Cuenta: 1000 | Operación: Depósito | Monto: 1.00 | Saldo final: 5002.00
[2025-05-17 09:41:06] Cuenta: 1000 | Operación: Depósito | Monto: 1000.00 | Saldo final: 6000.00
[2025-05-17 12:49:09] Cuenta: 1000 | Operación: Retiro | Monto: 100.00 | Saldo final: 4900.00
[2025-05-17 12:49:46] Cuenta: 1000 | Operación: Retiro | Monto: 15.00 | Saldo final: 4985.00
[2025-05-17 12:49:58] Cuenta: 1000 | Operación: Retiro | Monto: 5.00 | Saldo final: 4980.00
[2025-05-17 12:53:57] Cuenta: 1001 | Operación: Transferencia realizada | Monto: 500.00 | Saldo final: 4500.00
[2025-05-17 12:53:57] Cuenta: 1000 | Operación: Transferencia recibida | Monto: 500.00 | Saldo final: 5500.00
[2025-05-17 12:57:26] Cuenta: 1000 | Operación: Transferencia realizada | Monto: 2.00 | Saldo final: 4998.00
[2025-05-17 12:57:26] Cuenta: 1002 | Operación: Transferencia recibida | Monto: 2.00 | Saldo final: 5002.00
[2025-05-17 14:16:55] Cuenta: 1000 | Operación: Depósito | Monto: 100.00 | Saldo final: 5100.00
[2025-05-17 14:17:30] Cuenta: 1000 | Operación: Depósito | Monto: 1.00 | Saldo final: 5101.00
[2025-05-17 14:17:32] Cuenta: 1001 | Operación: Depósito | Monto: 12.00 | Saldo final: 5012.00
[2025-05-18 10:38:02] Cuenta: 1000 | Operación: Depósito | Monto: 1000.00 | Saldo final: 6000.00
[2025-05-18 10:39:04] Cuenta: 1000 | Operación: Retiro | Monto: 4000.00 | Saldo final: 2000.00
[2025-05-18 10:39:48] Cuenta: 1001 | Operación: Transferencia realizada | Monto: 3000.00 | Saldo final: 2000.00
[2025-05-18 10:39:48] Cuenta: 1000 | Operación: Transferencia recibida | Monto: 3000.00 | Saldo final: 5000.00
[2025-05-18 12:07:04] Cuenta: 1000 | Operación: Depósito | Monto: 1000.00 | Saldo final: 6000.00
[2025-05-18 12:07:58] Cuenta: 1001 | Operación: Retiro | Monto: 3000.00 | Saldo final: 2000.00
[2025-05-18 12:50:01] Cuenta: 1000 | Operación: Depósito | Monto: 1000.00 | Saldo final: 6000.00
[2025-05-18 12:50:33] Cuenta: 1001 | Operación: Retiro | Monto: 1000.00 | Saldo final: 4000.00
[2025-05-18 12:51:06] Cuenta: 1000 | Operación: Transferencia realizada | Monto: 3000.00 | Saldo final: 3000.00
[2025-05-18 12:51:06] Cuenta: 1001 | Operación: Transferencia recibida | Monto: 3000.00 | Saldo final: 7000.00
[2025-05-18 15:44:35] Cuenta: 1000 | Operación: Depósito | Monto: 1000.00 | Saldo final: 4000.00
[2025-05-18 15:45:43] Cuenta: 1001 | Operación: Retiro | Monto: 2000.00 | Saldo final: 5000.00
[2025-05-18 16:16:53] Cuenta: 1000 | Operación: Depósito | Monto: 1000.00 | Saldo final: 5000.00
[2025-05-18 16:17:14] Cuenta: 1001 | Operación: Depósito | Monto: 1000.00 | Saldo final: 6000.00
[2025-05-18 16:17:47] Cuenta: 1001 | Operación: Retiro | Monto: 2000.00 | Saldo final: 4000.00
[2025-05-18 16:18:18] Cuenta: 1000 | Operación: Retiro | Monto: 1000.00 | Saldo final: 4000.00
[2025-05-18 16:19:21] Cuenta: 1005 | Operación: Retiro | Monto: 2000.00 | Saldo final: 3000.00
[2025-05-18 16:19:53] Cuenta: 1000 | Operación: Depósito | Monto: 1000.00 | Saldo final: 5000.00
[2025-05-18 16:20:29] Cuenta: 1000 | Operación: Retiro | Monto: 1000.00 | Saldo final: 4000.00
[2025-05-18 16:21:21] Cuenta: 1001 | Operación: Retiro | Monto: 2000.00 | Saldo final: 2000.00
[2025-05-18 16:21:50] Cuenta: 1005 | Operación: Retiro | Monto: 2000.00 | Saldo final: 1000.00
[2025-05-18 16:21:53] Cuenta: 1000 | Operación: Depósito | Monto: 1000.00 | Saldo final: 5000.00
[2025-05-18 16:22:02] Cuenta: 1001 | Operación: Depósito | Monto: 1000.00 | Saldo final: 3000.00
[2025-05-18 16:22:35] Cuenta: 1001 | Operación: Retiro | Monto: 3000.00 | Saldo final: 0.00
[2025-05-18 16:22:50] Cuenta: 1005 | Operación: Depósito | Monto: 5000.00 | Saldo final: 6000.00
[2025-05-18 16:23:23] Cuenta: 1000 | Operación: Retiro | Monto: 500.00 | Saldo final: 4500.00
[2025-05-18 16:25:25] Cuenta: 1000 | Operación: Depósito | Monto: 3000.00 | Saldo final: 7000.00
[2025-05-18 16:25:35] Cuenta: 1001 | Operación: Depósito | Monto: 4000.00 | Saldo final: 9000.00
[2025-05-18 16:26:05] Cuenta: 1005 | Operación: Retiro | Monto: 2000.00 | Saldo final: 3000.00
[2025-05-18 16:26:11] Cuenta: 1000 | Operación: Depósito | Monto: 3000.00 | Saldo final: 10000.00
[2025-05-18 16:26:42] Cuenta: 1001 | Operación: Retiro | Monto: 1000.00 | Saldo final: 8000.00
[2025-05-18 16:27:37] Cuenta: 1005 | Operación: Transferencia realizada | Monto: 1000.00 | Saldo final: 2000.00
[2025-05-18 16:27:37] Cuenta: 1001 | Operación: Transferencia recibida | Monto: 1000.00 | Saldo final: 9000.00
[2025-05-18 16:28:07] Cuenta: 1000 | Operación: Retiro | Monto: 500.00 | Saldo final: 9500.00
