[2025-05-18 16:19:21] | Operación: Retiro | Monto: 2000.00 | Saldo final: 3000.00
[2025-05-18 16:21:50] | Operación: Retiro | Monto: 2000.00 | Saldo final: 1000.00
[2025-05-18 16:22:50] | Operación: Deposito | Monto: 5000.00 | Saldo final: 6000.00
[2025-05-18 16:26:05] | Operación: Retiro | Monto: 2000.00 | Saldo final: 3000.00
[2025-05-18 16:27:37] | Operación: Transferencia enviada | Monto: 1000.00 | Saldo final: 2000.00
[2025-05-18 17:16:17] | Operación: Deposito | Monto: 5000.00 | Saldo final: 10000.00
[2025-05-18 17:16:57] | Operación: Retiro | Monto: 2000.00 | Saldo final: 8000.00
[2025-05-18 17:18:36] | Operación: Transferencia enviada | Monto: 1000.00 | Saldo final: 7000.00
[2025-05-18 17:30:37] | Operación: Retiro | Monto: 4000.00 | Saldo final: 1000.00
[2025-05-18 17:32:03] | Operación: Transferencia enviada | Monto: 500.00 | Saldo final: 500.00
[2025-05-19 12:34:25] | Operación: Transferencia enviada | Monto: 500.00 | Saldo final: 0.00
[2025-05-19 17:23:12] | Operación: Deposito | Monto: 5000.00 | Saldo final: 5000.00
[2025-05-19 17:24:25] | Operación: Transferencia enviada | Monto: 5000.00 | Saldo final: 5000.00
[2025-05-19 17:24:25] | Operación: Transferencia recibida | Monto: 5000.00 | Saldo final: 5000.00
[2025-05-19 17:41:50] | Operación: Transferencia recibida | Monto: 7.00 | Saldo final: 5007.00
[2025-05-19 17:55:17] | Operación: Deposito | Monto: 1450.00 | Saldo final: 6457.00
[2025-05-19 18:09:16] | Operación: Deposito | Monto: 450.00 | Saldo final: 5457.00
[2025-05-19 18:15:10] | Operación: Deposito | Monto: 300.00 | Saldo final: 5307.00
[2025-05-19 18:21:28] | Operación: Deposito | Monto: 1000.00 | Saldo final: 6007.00
[2025-05-19 18:23:22] | Operación: Retiro | Monto: 7.00 | Saldo final: 6000.00
